Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
134,134.2C,47.83122,-126.327533,Compulsory,WA/OR,-1618.6856689453125
135,135.1C,48.013941,-124.694755,Compulsory,WA/OR,-7.890726566314697
135,135.2C,47.998648,-126.380321,Compulsory,WA/OR,-1442.750244140625
136,136.1C,48.181958,-124.723553,Compulsory,WA/OR,-2.4133808612823486
136,136.2C,48.166187,-126.431538,Compulsory,WA/OR,-2055.65771484375
137,137.1C,48.350415,-124.716994,Compulsory,WA/OR,43.0263671875
137,137.2C,48.332075,-126.669227,Compulsory,WA/OR,-1979.3841552734375
138,138.1C,48.518762,-124.734672,Compulsory,Vancouver Is.,-197.93731689453125
138,138.2C,48.49904,-126.798786,Compulsory,Vancouver Is.,-2156.9345703125
139,139.1C,48.715642,-125.11613,Compulsory,Vancouver Is.,5.695573806762695
139,139.2C,48.597016000000004,-125.26668600000001,Compulsory,Vancouver Is.,-118.4116439819336
141,141.1C,48.906763,-125.520566,Compulsory,Vancouver Is.,-3.4680166244506836
141,141.2C,48.590742,-125.923328,Compulsory,Vancouver Is.,-93.8901596069336
143,143.1C,49.112736,-125.90758,Compulsory,Vancouver Is.,-3.0975000858306885
143,143.2C,48.584432,-126.583721,Compulsory,Vancouver Is.,-1410.3775634765625
145,145.1C,49.34066,-126.267797,Compulsory,Vancouver Is.,-19.507104873657227
145,145.2C,48.723585,-127.060881,Compulsory,Vancouver Is.,-2015.030517578125
147,147.1C,49.555244,-126.646396,Compulsory,Vancouver Is.,-69.30750274658203
147,147.2C,49.01875,-127.338832,Compulsory,Vancouver Is.,-2055.31494140625
149,149.1C,49.791874,-126.997715,Compulsory,Vancouver Is.,-24.9950008392334
149,149.2C,49.220046,-127.738887,Compulsory,Vancouver Is.,-2492.1025390625
151,151.1C,50.012002,-127.371551,Compulsory,Vancouver Is.,-1.0850000381469727
151,151.2C,49.512517,-128.021712,Compulsory,Vancouver Is.,-2393.75
153,153.1C,50.101884,-127.916848,Compulsory,Vancouver Is.,-49.557498931884766
153,153.2C,49.66789,-128.484174,Compulsory,Vancouver Is.,-2039.9775390625
155,155.1C,50.461507,-128.110665,Compulsory,Vancouver Is.,-41.994998931884766
155,155.2C,49.987846,-128.732497,Compulsory,Vancouver Is.,-2075.9384765625
1,001.1N,32.62917,-117.150458,Nearshore,S. CA Bight,-0.7038100957870483
1,001.2N,32.584419,-117.239839,Nearshore,S. CA Bight,-44.315895080566406
2,002.1N,32.672702,-117.258032,Nearshore,S. CA Bight,-10.420149803161621
2,002.2N,32.633113,-117.336966,Nearshore,S. CA Bight,-136.3151092529297
3,003.1N,32.768319,-117.2618,Nearshore,S. CA Bight,-6.490149974822998
3,003.2N,32.725641,-117.347364,Nearshore,S. CA Bight,-88.7071533203125
4,004.1N,32.865098,-117.263221,Nearshore,S. CA Bight,3.466348886489868
4,004.2N,32.82023,-117.352824,Nearshore,S. CA Bight,-120.42666625976563
5,005.1N,32.95559,-117.277173,Nearshore,S. CA Bight,-8.695206642150879
5,005.2N,32.913676,-117.360929,Nearshore,S. CA Bight,-476.5466613769531
6,006.1N,33.038672,-117.305929,Nearshore,S. CA Bight,-19.115205764770508
6,006.2N,32.99663,-117.390006,Nearshore,S. CA Bight,-490.26983642578125
7,007.1N,33.119392,-117.339422,Nearshore,S. CA Bight,-11.31485366821289
7,007.2N,33.07785,-117.422561,Nearshore,S. CA Bight,-436.21484375
8,008.1N,33.189305,-117.394575,Nearshore,S. CA Bight,-7.154853343963623
8,008.2N,33.147492,-117.478318,Nearshore,S. CA Bight,-344.47137451171875
9,009.1N,33.257673,-117.452874,Nearshore,S. CA Bight,-0.5155613422393799
9,009.2N,33.215516,-117.537368,Nearshore,S. CA Bight,-392.62408447265625
10,010.1N,33.323129,-117.517066,Nearshore,S. CA Bight,-5.274094104766846
10,010.2N,33.278572,-117.606438,Nearshore,S. CA Bight,-242.2556915283203
11,011.1N,33.37887,-117.600821,Nearshore,S. CA Bight,13.00384521484375
11,011.2N,33.336402,-117.686066,Nearshore,S. CA Bight,-425.3109436035156
12,012.1N,33.442166,-117.669493,Nearshore,S. CA Bight,61.029056549072266
12,012.2N,33.397314,-117.759401,Nearshore,S. CA Bight,-627.58831787109375
13,013.1N,33.49727,-117.754701,Nearshore,S. CA Bight,-11.853991508483887
13,013.2N,33.453438,-117.842818,Nearshore,S. CA Bight,-621.80828857421875
14,014.1N,33.556406,-117.831894,Nearshore,S. CA Bight,-5.393991470336914
14,014.2N,33.51188,-117.921613,Nearshore,S. CA Bight,-433.36932373046875
15,015.1N,33.603094,-117.934232,Nearshore,S. CA Bight,-2.4113073348999023
15,015.2N,33.559542,-118.022687,Nearshore,S. CA Bight,-120.77076721191406
16,016.1N,33.657441,-118.02126,Nearshore,S. CA Bight,-10.158443450927734
16,016.2N,33.614495,-118.107793,Nearshore,S. CA Bight,-38.338443756103516
17,017.1N,33.716882,-118.098115,Nearshore,S. CA Bight,-8.778443336486816
17,017.2N,33.672993,-118.187417,Nearshore,S. CA Bight,-23.80821990966797
18,018.1N,33.709337,-118.310327,Nearshore,S. CA Bight,108.41974639892578
18,018.2N,33.666315,-118.397206,Nearshore,S. CA Bight,-810.313232421875
19,019.1N,33.750876,-118.423514,Nearshore,S. CA Bight,-59.131935119628906
19,019.2N,33.70963,-118.506815,Nearshore,S. CA Bight,-731.23321533203125
